    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
     0     +0.000  +0.752331200  -0.130444047  +1288.095203    +0.6947634    -0.0227188    +0.0041738    +1
     1     +0.100  +0.752331562  -0.130443632  +1288.098363    +0.6949911    -0.0229788    +0.0036609    +1
     2     +0.200  +0.752331925  -0.130443218  +1288.102315    +0.6952637    -0.0230091    +0.0033482    +1
     3     +0.300  +0.752332287  -0.130442803  +1288.106680    +0.6954475    -0.0225065    +0.0031201    +1
     4     +0.400  +0.752332649  -0.130442389  +1288.111954    +0.6956420    -0.0219509    +0.0028304    +1
     5     +0.500  +0.752333011  -0.130441975  +1288.119004    +0.6959049    -0.0219612    +0.0025556    +1
     6     +0.600  +0.752333374  -0.130441560  +1288.127828    +0.6962139    -0.0222370    +0.0023539    +1
     7     +0.700  +0.752333736  -0.130441146  +1288.137958    +0.6965366    -0.0220403    +0.0022402    +1
     8     +0.800  +0.752334098  -0.130440732  +1288.149192    +0.6967731    -0.0210698    +0.0022225    +1
     9     +0.900  +0.752334461  -0.130440317  +1288.161871    +0.6967282    -0.0199525    +0.0022597    +1
    10     +1.000  +0.752334823  -0.130439903  +1288.176488    +0.6962811    -0.0192375    +0.0022381    +1
    11     +1.100  +0.752335185  -0.130439489  +1288.193064    +0.6955483    -0.0187318    +0.0020720    +1
    12     +1.200  +0.752335548  -0.130439074  +1288.211332    +0.6947932    -0.0181383    +0.0017722    +1
    13     +1.300  +0.752335910  -0.130438660  +1288.231323    +0.6943722    -0.0176937    +0.0013887    +1
    14     +1.400  +0.752336273  -0.130438246  +1288.252927    +0.6944369    -0.0174040    +0.0011375    +1
    15     +1.500  +0.752336635  -0.130437832  +1288.275471    +0.6947551    -0.0172323    +0.0012055    +1
    16     +1.600  +0.752336998  -0.130437418  +1288.298421    +0.6949634    -0.0173313    +0.0015928    +1
    17     +1.700  +0.752337360  -0.130437004  +1288.321482    +0.6948193    -0.0175935    +0.0021006    +1
    18     +1.800  +0.752337723  -0.130436589  +1288.344320    +0.6943038    -0.0174258    +0.0025146    +1
    19     +1.900  +0.752338086  -0.130436175  +1288.367172    +0.6936072    -0.0171290    +0.0027100    +1
    20     +2.000  +0.752338448  -0.130435761  +1288.390640    +0.6929354    -0.0174772    +0.0027130    +1
    21     +2.100  +0.752338811  -0.130435347  +1288.414110    +0.6924098    -0.0182545    +0.0026429    +1
    22     +2.200  +0.752339174  -0.130434933  +1288.436247    +0.6920880    -0.0187328    +0.0025951    +1
    23     +2.300  +0.752339537  -0.130434518  +1288.456550    +0.6920433    -0.0184531    +0.0026294    +1
    24     +2.400  +0.752339900  -0.130434104  +1288.475308    +0.6922497    -0.0179904    +0.0028062    +1
    25     +2.500  +0.752340263  -0.130433690  +1288.492724    +0.6924273    -0.0182812    +0.0031976    +1
    26     +2.600  +0.752340626  -0.130433275  +1288.508636    +0.6923937    -0.0194354    +0.0036621    +1
    27     +2.700  +0.752340989  -0.130432861  +1288.522708    +0.6921485    -0.0207837    +0.0040533    +1
    28     +2.800  +0.752341352  -0.130432446  +1288.534351    +0.6917128    -0.0217173    +0.0043416    +1
    29     +2.900  +0.752341715  -0.130432031  +1288.543189    +0.6911911    -0.0220663    +0.0044893    +1
    30     +3.000  +0.752342079  -0.130431617  +1288.549463    +0.6907554    -0.0221547    +0.0045282    +1
    31     +3.100  +0.752342442  -0.130431202  +1288.553563    +0.6905387    -0.0222319    +0.0044908    +1
    32     +3.200  +0.752342805  -0.130430787  +1288.556374    +0.6906448    -0.0225197    +0.0044066    +1
    33     +3.300  +0.752343169  -0.130430372  +1288.559046    +0.6910983    -0.0230222    +0.0043454    +1
    34     +3.400  +0.752343533  -0.130429957  +1288.561606    +0.6918193    -0.0230409    +0.0043784    +1
    35     +3.500  +0.752343896  -0.130429542  +1288.563545    +0.6926875    -0.0223387    +0.0045201    +1
    36     +3.600  +0.752344260  -0.130429127  +1288.565442    +0.6935229    -0.0214573    +0.0047383    +1
    37     +3.700  +0.752344624  -0.130428712  +1288.568095    +0.6942068    -0.0209833    +0.0049577    +1
    38     +3.800  +0.752344988  -0.130428296  +1288.571696    +0.6946677    -0.0211940    +0.0051215    +1
